trip_id,arrival_time,departure_time,stop_id,stop_sequence
PUN1_ida,07:00:00,07:00:00,T_CBA,1
PUN1_ida,07:40:00,07:40:00,VCP,2
PUN1_ida,08:05:00,08:05:00,BIA,3
PUN1_ida,08:15:00,08:15:00,SMP,4
PUN1_ida,08:25:00,08:25:00,COS,5
PUN1_ida,08:45:00,08:45:00,VHE,6
PUN1_ida,08:55:00,08:55:00,LFA,7
PUN1_ida,09:05:00,09:05:00,HGR,8
PUN1_ida,09:12:00,09:12:00,VGI,9
PUN1_ida,09:25:00,09:25:00,LCO,10
PUN1_ida,09:40:00,09:40:00,LCU,11
PUN1_ida,10:05:00,10:05:00,CDM,12
PUN2_ida,06:30:00,06:30:00,T_CBA,1
PUN2_ida,07:10:00,07:10:00,VCP,2
PUN2_ida,07:45:00,07:45:00,COS,3
PUN2_ida,08:10:00,08:10:00,LFA,4
PUN2_ida,08:45:00,08:45:00,LCU,5
PUN2_ida,09:10:00,09:10:00,CDM,6
CAL1_ida,07:30:00,07:30:00,T_CBA,1
CAL1_ida,08:15:00,08:15:00,ALT,2
CAL1_ida,09:20:00,09:20:00,VGB,3
CAL1_ida,09:40:00,09:40:00,SRC,4
CAL1_ida,10:05:00,10:05:00,VDI,5
CAL1_ida,10:20:00,10:20:00,EMB,6
CAL2_ida,08:00:00,08:00:00,T_CBA,1
CAL2_ida,08:45:00,08:45:00,ALT,2
CAL2_ida,09:50:00,09:50:00,VGB,3
CAL2_ida,10:10:00,10:10:00,SRC,4
