trip_id,arrival_time,departure_time,stop_id,stop_sequence
A_ida,08:00:00,08:00:00,A1,1
A_ida,08:02:00,08:02:00,A2,2
A_ida,08:04:00,08:04:00,A3,3
A_ida,08:06:00,08:06:00,A4,4
B_ida,08:00:00,08:00:00,B1,1
B_ida,08:02:00,08:02:00,B2,2
B_ida,08:04:00,08:04:00,B3,3
B_ida,08:06:00,08:06:00,B4,4
B_ida,08:08:00,08:08:00,B5,5
C_ida,08:00:00,08:00:00,C1,1
C_ida,08:03:00,08:03:00,C2,2
C_ida,08:05:00,08:05:00,C3,3
C_ida,08:07:00,08:07:00,C4,4
D_ida,08:00:00,08:00:00,D1,1
D_ida,08:02:00,08:02:00,D2,2
D_ida,08:04:00,08:04:00,D3,3
D_ida,08:06:00,08:06:00,D4,4
D_ida,08:08:00,08:08:00,D5,5
D_ida,08:12:00,08:12:00,D6,6
D_ida,08:14:00,08:14:00,D7,7
D_ida,08:16:00,08:16:00,D8,8
E_ida,08:00:00,08:00:00,E1,1
E_ida,08:03:00,08:03:00,E2,2
