SemanaKey,Semana,FechaLunes
1,S01,2025-01-06
2,S02,2025-01-13
3,S03,2025-01-20
4,S04,2025-01-27
5,S05,2025-02-03
6,S06,2025-02-10
7,S07,2025-02-17
8,S08,2025-02-24
9,S09,2025-03-03
10,S10,2025-03-10
11,S11,2025-03-17
12,S12,2025-03-24
13,S13,2025-03-31
14,S14,2025-04-07
15,S15,2025-04-14
16,S16,2025-04-21
17,S17,2025-04-28
18,S18,2025-05-05
19,S19,2025-05-12
20,S20,2025-05-19
21,S21,2025-05-26
22,S22,2025-06-02
23,S23,2025-06-09
24,S24,2025-06-16
25,S25,2025-06-23
26,S26,2025-06-30
