ClienteKey,Nombre,Segmento,Provincia
1,Cliente 01,Restaurante,Santa Fe
2,Cliente 02,Restaurante,Santa Fe
3,Cliente 03,Mayorista,Córdoba
4,Cliente 04,Restaurante,Buenos Aires
5,Cliente 05,Kiosco,Buenos Aires
6,Cliente 06,Restaurante,Mendoza
7,Cliente 07,Mayorista,Córdoba
8,Cliente 08,Kiosco,Santa Fe
9,Cliente 09,Kiosco,Tucumán
10,Cliente 10,Restaurante,Tucumán
11,Cliente 11,Restaurante,Córdoba
12,Cliente 12,Mayorista,Santa Fe
13,Cliente 13,Restaurante,Córdoba
14,Cliente 14,Mayorista,Santa Fe
15,Cliente 15,Restaurante,Santa Fe
16,Cliente 16,Restaurante,Santa Fe
17,Cliente 17,Mayorista,Mendoza
18,Cliente 18,Kiosco,Buenos Aires
19,Cliente 19,Mayorista,Mendoza
20,Cliente 20,Mayorista,Buenos Aires
21,Cliente 21,Kiosco,Buenos Aires
22,Cliente 22,Minorista,Mendoza
23,Cliente 23,Restaurante,Mendoza
24,Cliente 24,Mayorista,Buenos Aires
25,Cliente 25,Restaurante,Mendoza
26,Cliente 26,Kiosco,Buenos Aires
27,Cliente 27,Restaurante,Tucumán
28,Cliente 28,Kiosco,Mendoza
29,Cliente 29,Kiosco,Mendoza
30,Cliente 30,Minorista,Buenos Aires
31,Cliente 31,Mayorista,Buenos Aires
32,Cliente 32,Minorista,Buenos Aires
33,Cliente 33,Minorista,Córdoba
34,Cliente 34,Restaurante,Tucumán
35,Cliente 35,Minorista,Santa Fe
36,Cliente 36,Kiosco,Córdoba
37,Cliente 37,Minorista,Mendoza
38,Cliente 38,Kiosco,Tucumán
39,Cliente 39,Kiosco,Buenos Aires
40,Cliente 40,Mayorista,Mendoza
