VentaID,Fecha,ProductoKey,ClienteKey,VendedorKey,Cantidad,Importe
1,2024-01-01,2,14,4,7,17013.57
2,2024-01-01,6,4,1,4,2637.68
3,2024-01-01,1,7,3,19,40365.88
4,2024-01-01,20,14,5,1,2952.2
5,2024-01-01,13,23,5,5,3862.7
6,2024-01-01,12,32,4,16,10870.72
7,2024-01-01,16,10,1,16,56583.84
8,2024-01-01,24,31,6,11,59972.99
9,2024-01-02,6,34,3,17,10146.45
10,2024-01-02,5,34,3,18,116226.18
11,2024-01-02,21,17,5,3,15846.57
12,2024-01-02,12,15,5,6,4380.54
13,2024-01-02,18,15,5,17,42738.68
14,2024-01-02,25,26,6,7,7227.78
15,2024-01-02,8,23,6,7,7043.26
16,2024-01-03,9,39,3,16,12172.0
17,2024-01-03,15,24,1,12,49132.68
18,2024-01-03,8,13,3,4,3692.0
19,2024-01-03,7,40,1,16,48200.48
20,2024-01-03,16,6,6,12,48688.32
21,2024-01-03,4,13,4,13,36576.15
22,2024-01-04,6,22,1,14,10473.12
23,2024-01-04,24,6,6,13,65624.52
24,2024-01-04,6,2,2,6,4730.1
25,2024-01-04,19,10,5,15,61361.1
26,2024-01-04,20,23,2,16,56265.12
27,2024-01-04,18,1,6,18,42552.36
28,2024-01-05,5,13,2,14,92070.3
29,2024-01-05,1,33,2,9,19494.0
30,2024-01-05,25,35,4,19,17143.7
31,2024-01-05,5,23,4,2,12900.4
32,2024-01-06,22,34,4,19,80456.45
33,2024-01-06,17,34,5,5,5414.1
34,2024-01-06,1,39,1,15,38190.75
35,2024-01-06,25,31,5,5,4303.1
36,2024-01-07,11,31,1,17,65777.08
37,2024-01-07,18,18,1,2,4905.5
38,2024-01-07,25,36,1,4,3806.4
39,2024-01-07,25,40,5,3,2802.33
40,2024-01-07,20,18,4,17,52297.44
41,2024-01-08,17,33,2,18,21011.4
42,2024-01-08,23,17,5,17,48571.21
43,2024-01-08,7,8,4,15,39116.55
44,2024-01-09,8,20,1,14,12306.42
45,2024-01-09,25,24,2,5,5343.7
46,2024-01-09,9,15,6,5,4630.5
47,2024-01-09,4,11,6,13,37568.57
48,2024-01-09,8,33,4,6,6360.9
49,2024-01-10,11,21,1,14,49029.96
50,2024-01-10,24,36,4,12,52815.84
51,2024-01-10,15,34,5,1,3503.62
52,2024-01-10,10,8,2,17,115308.11
53,2024-01-10,4,3,2,3,7287.48
54,2024-01-10,9,17,4,5,4458.05
55,2024-01-11,19,6,3,16,63627.84
56,2024-01-11,2,5,3,6,16284.96
57,2024-01-11,1,6,5,3,7688.97
58,2024-01-11,8,8,4,3,2801.28
59,2024-01-11,1,27,3,11,29621.79
60,2024-01-11,20,16,1,5,14630.65
61,2024-01-11,6,13,3,9,5420.07
62,2024-01-11,21,14,3,10,50462.3
63,2024-01-12,15,18,3,17,64626.86
64,2024-01-12,1,2,6,9,18427.05
65,2024-01-12,17,33,4,18,21953.34
66,2024-01-12,8,28,6,15,13327.65
67,2024-01-12,16,26,5,18,73704.78
68,2024-01-12,10,22,2,7,47739.58
69,2024-01-12,23,23,1,5,12546.85
70,2024-01-12,5,17,4,1,5065.65
71,2024-01-12,6,25,5,2,1217.94
72,2024-01-13,8,12,2,10,8710.5
73,2024-01-13,9,24,3,15,10516.5
74,2024-01-13,18,20,2,11,26946.59
75,2024-01-13,12,25,1,6,3917.58
76,2024-01-13,16,13,2,9,33663.15
77,2024-01-14,17,6,2,1,947.62
78,2024-01-14,13,2,3,19,12284.26
79,2024-01-14,10,34,2,8,42257.44
80,2024-01-14,22,21,6,20,75244.6
81,2024-01-15,24,3,6,20,106210.0
82,2024-01-15,17,33,2,14,16026.64
83,2024-01-15,17,2,6,17,18599.02
84,2024-01-15,19,3,2,8,26523.68
85,2024-01-15,21,25,4,12,67901.88
86,2024-01-15,18,35,6,2,5478.22
87,2024-01-15,8,30,1,16,14937.12
88,2024-01-16,24,6,6,17,96588.39
89,2024-01-16,17,31,3,3,3445.2
90,2024-01-16,3,14,2,9,7441.47
91,2024-01-16,24,25,1,15,76393.8
92,2024-01-16,16,40,6,10,40224.7
93,2024-01-17,5,20,5,11,59046.79
94,2024-01-17,19,4,4,5,16187.1
95,2024-01-17,9,32,3,4,3447.32
96,2024-01-17,23,30,4,17,41166.35
97,2024-01-17,25,36,2,4,4333.32
98,2024-01-18,10,2,3,3,20222.52
99,2024-01-18,15,29,3,3,11863.56
100,2024-01-18,13,14,1,7,5827.57
101,2024-01-18,19,34,3,3,10129.02
102,2024-01-18,12,33,3,5,3919.85
103,2024-01-19,8,32,4,16,17838.24
104,2024-01-19,1,32,6,6,12149.76
105,2024-01-19,15,10,4,13,44438.16
106,2024-01-19,12,22,1,13,9379.11
107,2024-01-19,11,8,2,11,46279.09
108,2024-01-19,23,19,3,1,2875.58
109,2024-01-19,12,38,1,3,2214.54
110,2024-01-19,12,4,3,14,11439.4
111,2024-01-20,4,19,6,2,5705.02
112,2024-01-20,5,28,5,8,52406.88
113,2024-01-20,11,28,1,7,28944.58
114,2024-01-21,18,6,1,18,43537.14
115,2024-01-21,24,9,6,14,70421.54
116,2024-01-21,10,36,2,16,83542.08
117,2024-01-21,6,19,3,16,10787.04
118,2024-01-21,9,16,3,9,7155.72
119,2024-01-21,16,8,2,18,70519.14
120,2024-01-21,21,33,4,6,26368.14
121,2024-01-22,18,22,4,8,20857.2
122,2024-01-22,14,16,1,5,10948.4
123,2024-01-22,6,21,2,11,7722.33
124,2024-01-23,7,27,4,1,3116.93
125,2024-01-23,14,18,3,17,33680.57
126,2024-01-23,25,37,3,2,1898.0
127,2024-01-24,5,14,1,17,98974.34
128,2024-01-24,9,29,4,8,6320.16
129,2024-01-24,10,28,6,1,5355.42
130,2024-01-24,25,32,1,16,17224.64
131,2024-01-24,3,34,4,13,13059.67
132,2024-01-24,15,15,2,8,31331.52
133,2024-01-24,5,7,6,17,111388.42
134,2024-01-24,23,3,1,15,34106.25
135,2024-01-25,2,17,5,10,31397.6
136,2024-01-25,21,8,1,14,73998.4
137,2024-01-25,3,38,2,10,9008.6
138,2024-01-25,13,39,1,9,6166.89
139,2024-01-25,1,30,3,18,40064.76
140,2024-01-25,11,16,5,8,30468.0
141,2024-01-26,8,20,1,1,1132.89
142,2024-01-26,1,27,1,7,16509.43
143,2024-01-26,9,24,2,8,6848.24
144,2024-01-26,16,27,3,2,7893.0
145,2024-01-27,10,32,2,17,89300.66
146,2024-01-27,10,15,3,7,38729.39
147,2024-01-27,25,40,4,10,8434.3
148,2024-01-27,20,32,4,6,22479.42
149,2024-01-27,22,10,4,2,8765.94
150,2024-01-28,2,39,2,7,16771.09
151,2024-01-28,14,12,4,2,4579.44
152,2024-01-28,15,6,2,11,42507.08
153,2024-01-28,11,34,6,7,24436.51
154,2024-01-29,24,22,4,13,72748.91
155,2024-01-29,6,18,1,4,2371.4
156,2024-01-29,12,8,5,14,12048.26
157,2024-01-29,25,20,4,7,6418.93
158,2024-01-30,3,13,3,2,1894.16
159,2024-01-30,18,24,6,15,36163.05
160,2024-01-30,16,16,6,1,3877.99
161,2024-01-30,25,3,4,13,10723.57
162,2024-01-30,3,5,5,2,1665.02
163,2024-01-30,11,40,1,12,43032.6
164,2024-01-31,11,39,6,9,32521.95
165,2024-01-31,3,7,4,1,977.95
166,2024-01-31,23,25,3,15,43712.4
167,2024-01-31,14,32,2,16,30936.0
168,2024-01-31,1,10,5,10,25772.3
169,2024-02-01,8,30,3,11,12149.06
170,2024-02-01,20,26,2,3,10130.34
171,2024-02-01,8,3,4,14,12272.82
172,2024-02-01,18,28,1,18,45199.62
173,2024-02-01,3,14,1,9,8338.14
174,2024-02-01,14,29,2,16,39386.4
175,2024-02-01,8,40,6,5,4886.75
176,2024-02-01,8,8,3,18,19806.84
177,2024-02-01,10,24,3,9,54974.7
178,2024-02-02,8,10,3,6,5569.74
179,2024-02-02,19,26,3,7,25023.04
180,2024-02-02,8,7,6,17,17147.22
181,2024-02-02,15,31,2,2,6423.34
182,2024-02-02,15,19,2,12,37770.12
183,2024-02-03,4,38,2,2,4745.28
184,2024-02-03,3,12,4,12,10774.2
